admission_number,student_name,grade,section,total_fee,paid_amount,due_amount,late_fee,status
ADM-2026-00001,Aditya Mehta,10th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00002,Ananya Verma,9th Grade,A,12000.0,1719.45,10280.55,1000.0,DEFAULT_AGED
ADM-2026-00003,Krishna Choudhury,9th Grade,D,12000.0,7502.64,4497.36,0.0,PENDING_DUE
ADM-2026-00004,Neha Deshmukh,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00005,Diya Sharma,9th Grade,D,12000.0,7248.04,4751.96,0.0,PENDING_DUE
ADM-2026-00006,Pari Choudhury,11th Grade,C,15000.0,6733.84,8266.16,0.0,PENDING_DUE
ADM-2026-00007,Karan Deshmukh,9th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00008,Riya Pillai,12th Grade,B,12000.0,4753.62,7246.38,0.0,PENDING_DUE
ADM-2026-00009,Ananya Bose,12th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00010,Ishaan Das,9th Grade,B,12000.0,5642.04,6357.96,0.0,PENDING_DUE
ADM-2026-00011,Meera Singh,10th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00012,Priya Bose,12th Grade,B,22000.0,359.08,21640.92,250.0,DEFAULT_AGED
ADM-2026-00013,Amit Sen,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00014,Anjali Singh,9th Grade,C,18000.0,5623.66,12376.34,0.0,PENDING_DUE
ADM-2026-00015,Ayaan Rao,12th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00016,Riya Malhotra,10th Grade,C,15000.0,7193.15,7806.85,0.0,PENDING_DUE
ADM-2026-00017,Sanya Nair,10th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00018,Aarav Sen,9th Grade,D,18000.0,8152.28,9847.72,0.0,PENDING_DUE
ADM-2026-00019,Amit Verma,9th Grade,B,12000.0,2615.95,9384.05,0.0,PENDING_DUE
ADM-2026-00020,Rohan Nair,11th Grade,D,22000.0,10946.2,11053.8,0.0,PENDING_DUE
ADM-2026-00021,Priya Rao,10th Grade,A,22000.0,12981.89,9018.11,0.0,PENDING_DUE
ADM-2026-00022,Reyansh Malhotra,11th Grade,D,22000.0,1286.62,20713.38,1000.0,DEFAULT_AGED
ADM-2026-00023,Anjali Gupta,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00024,Vivaan Choudhury,10th Grade,C,22000.0,8104.1,13895.9,0.0,PENDING_DUE
ADM-2026-00025,Rohan Mehta,10th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00026,Pooja Joshi,12th Grade,D,12000.0,5702.53,6297.47,0.0,PENDING_DUE
ADM-2026-00027,Vivaan Bose,11th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00028,Vikas Deshmukh,12th Grade,A,12000.0,984.89,11015.11,500.0,DEFAULT_AGED
ADM-2026-00029,Karan Gupta,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00030,Pooja Menon,10th Grade,D,22000.0,14728.74,7271.26,0.0,PENDING_DUE
ADM-2026-00031,Anjali Reddy,10th Grade,B,15000.0,9783.82,5216.18,0.0,PENDING_DUE
ADM-2026-00032,Vikas Reddy,12th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00033,Reyansh Choudhury,9th Grade,A,18000.0,4187.15,13812.85,0.0,PENDING_DUE
ADM-2026-00034,Meera Patel,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00035,Pooja Menon,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00036,Pari Bose,12th Grade,A,18000.0,60.72,17939.28,250.0,DEFAULT_AGED
ADM-2026-00037,Sai Verma,11th Grade,C,18000.0,2826.25,15173.75,250.0,DEFAULT_AGED
ADM-2026-00038,Neha Sharma,12th Grade,B,15000.0,1552.82,13447.18,500.0,DEFAULT_AGED
ADM-2026-00039,Aadhya Iyer,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00040,Vikas Patel,9th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00041,Riya Sen,12th Grade,C,15000.0,8422.17,6577.83,0.0,PENDING_DUE
ADM-2026-00042,Rahul Choudhury,9th Grade,B,22000.0,12864.61,9135.39,0.0,PENDING_DUE
ADM-2026-00043,Reyansh Rao,10th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
